model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
lightgbm,3,f1_macro_opt,0.5642403919953388,0.8371936274509804,0.9022081109437219,0.761297426251319,0.7908747843473232,0.5226033624513052,0.6753246753246753,0.6797385620915033,0.6775244299674267,0.8463949843260188,0.84375,0.8450704225352113
lightgbm,3,youden_j,0.6664345374758933,0.8371936274509804,0.9022081109437219,0.7487541528239203,0.7729467665919801,0.5086018964147583,0.612565445026178,0.7647058823529411,0.6802325581395349,0.8723404255319149,0.76875,0.8172757475083057
extra_trees,3,default_0.5,0.5,0.8487132352941176,0.9135829518648969,0.7463146658335286,0.7800208471664472,0.4936731451911747,0.676056338028169,0.6274509803921569,0.6508474576271186,0.8277945619335347,0.85625,0.8417818740399385
extra_trees,3,f1_macro_opt,0.6104132759506521,0.8487132352941176,0.9135829518648969,0.7586077046946612,0.7852750208260825,0.5201367891350935,0.6453488372093024,0.7254901960784313,0.683076923076923,0.8604651162790697,0.809375,0.8341384863123994
extra_trees,3,youden_j,0.6612874078002756,0.8487132352941176,0.9135829518648969,0.7570901306916626,0.7795734814134603,0.5284430463000584,0.6173469387755102,0.7908496732026143,0.6934097421203438,0.8844765342960289,0.765625,0.8207705192629816
acmg_rule,4,default_0.5,0.5,0.6382781456953641,0.7626638246790897,0.5078433199763923,0.521071703306241,0.11105921792269861,0.3586206896551724,0.6887417218543046,0.47165532879818595,0.7473118279569892,0.4276923076923077,0.5440313111545988
acmg_rule,4,f1_macro_opt,0.0009110511944006454,0.6382781456953641,0.7626638246790897,0.6142446976011855,0.6829729391061787,0.25614029370202474,0.5591397849462365,0.3443708609271523,0.4262295081967213,0.741514360313316,0.8738461538461538,0.8022598870056498
acmg_rule,4,youden_j,0.0009110511944006454,0.6382781456953641,0.7626638246790897,0.6142446976011855,0.6829729391061787,0.25614029370202474,0.5591397849462365,0.3443708609271523,0.4262295081967213,0.741514360313316,0.8738461538461538,0.8022598870056498
lr_ek_only,4,default_0.5,0.5,0.6619663779928681,0.7896838011189627,0.6095039083662255,0.6637827548014793,0.2193348388913174,0.4722222222222222,0.4503311258278146,0.4610169491525424,0.75,0.7661538461538462,0.7579908675799086
lr_ek_only,4,f1_macro_opt,0.5378590685669747,0.6619663779928681,0.7896838011189627,0.6145557515089793,0.6616203151818862,0.2305517797366245,0.463855421686747,0.5099337748344371,0.48580441640378547,0.7612903225806451,0.7261538461538461,0.7433070866141732
lr_ek_only,4,youden_j,0.6019730113479727,0.6619663779928681,0.7896838011189627,0.5924948277092101,0.6075162033137432,0.2757292623253458,0.4259927797833935,0.7814569536423841,0.5514018691588785,0.8341708542713567,0.5107692307692308,0.6335877862595419
lightgbm,4,default_0.5,0.5,0.8116963830871117,0.8741590763908491,0.7370788290065493,0.775643911790235,0.4766813020203639,0.6716417910447762,0.5960264900662252,0.631578947368421,0.8216374269005848,0.8646153846153846,0.8425787106446777
lightgbm,4,f1_macro_opt,0.5733330873488006,0.8116963830871117,0.8741590763908491,0.7527587761422215,0.7812392680861522,0.5100982411426431,0.6285714285714286,0.7284768211920529,0.6748466257668712,0.8637873754152824,0.8,0.8306709265175719
lightgbm,4,youden_j,0.5776190914394616,0.8116963830871117,0.8741590763908491,0.7515112188791366,0.7795629368170887,0.5087716938178869,0.6235955056179775,0.7350993377483444,0.6747720364741642,0.8657718120805369,0.7938461538461539,0.8282504012841091
extra_trees,4,default_0.5,0.5,0.7987773815588386,0.8691961655879623,0.7322221064694239,0.7704713638763142,0.46566957917763363,0.6546762589928058,0.6026490066225165,0.6275862068965518,0.8219584569732937,0.8523076923076923,0.8368580060422961
extra_trees,4,f1_macro_opt,0.47942435482836665,0.7987773815588386,0.8691961655879623,0.7410406334014694,0.7794223395358874,0.48527825736429814,0.6818181818181818,0.5960264900662252,0.6360424028268551,0.8226744186046512,0.8707692307692307,0.8460388639760837
extra_trees,4,youden_j,0.5925592863826423,0.7987773815588386,0.8691961655879623,0.731370384001963,0.76252096716493,0.46682061917109097,0.603448275862069,0.695364238410596,0.6461538461538462,0.847682119205298,0.7876923076923077,0.8165869218500797
